,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,commentary_line,world_cup_year,host_country
0,11,, Nottingham,League-Match,PAK,SL,330,6,138,0,Pakistan won by 192 runs,Zaheer Abbas,,,,1975,England
1,5,, Leeds,League-Match,EAf,IND,120,0,123,0,India won by 10 wickets (with 181 balls remaining),Farokh Engineer,,,,1975,England
2,12,1975-06-18, Leeds,Semi-Final,ENG,AUS,93,0,94,6,Australia won by 4 wickets (with 188 balls remaining),Gary Gilmour,,,,1975,England
3,8,1975-06-14, Birmingham,League-Match,ENG,EAf,290,5,94,0,England won by 196 runs,John Snow,,,,1975,England
4,13,, The Oval,Semi-Final,NZ,WI,158,0,159,5,West Indies won by 5 wickets (with 119 balls remaining),Alvin Kallicharran,,,,1975,England
5,1,, Birmingham,League-Match,NZ,EAf,309,5,128,8,New Zealand won by 181 runs,Glenn Turner,,,,1975,England
6,7,, Birmingham,League-Match,PAK,WI,266,7,267,9,West Indies won by 1 wicket (with 2 balls remaining),Sarfraz Nawaz,,,,1975,England
7,2,, Leeds,League-Match,AUS,PAK,278,7,205,0,Australia won by 73 runs,Dennis Lillee,,,,1975,England
8,11,, Nottingham,League-Match,PAK,SL,330,6,138,0,Pakistan won by 192 runs,Zaheer Abbas,,,,1975,England
9,4,1975-06-11, Nottingham,League-Match,ENG,NZ,266,6,186,0,England won by 80 runs,Keith Fletcher,,,,1975,England
10,3,, Manchester,League-Match,SL,WI,86,0,87,1,West Indies won by 9 wickets (with 236 balls remaining),Bernard Julien,,,,1975,England
11,13,, The Oval,Semi-Final,NZ,WI,158,0,159,5,West Indies won by 5 wickets (with 119 balls remaining),Alvin Kallicharran,,,,1975,England
12,0,1975-06-07, Lord's,League-Match,ENG,IND,334,4,132,3,England won by 202 runs,Dennis Amiss,,,,1975,England
13,9,, Manchester,League-Match,IND,NZ,230,0,233,6,New Zealand won by 4 wickets (with 7 balls remaining),Glenn Turner,,,,1975,England
14,6,, The Oval,League-Match,AUS,SL,328,5,276,4,Australia won by 52 runs,Alan Turner,,,,1975,England
15,10,, The Oval,League-Match,AUS,WI,192,0,195,3,West Indies won by 7 wickets (with 84 balls remaining),Alvin Kallicharran,,,,1975,England
16,14,1975-06-21, Lord's,Final,WI,AUS,291,8,274,0,West Indies won by 17 runs,Clive Lloyd,,,,1975,England
