,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs,best_baller_1,best_baller_1_wick,best_baller_2,best_baller_2_wick
419, Sydney,League-Match,AFG,ENG,111.0,7.0,101.0,1.0,Chris Jordan,2015,AUS,played,ENG,IR Bell,52,AD Hales,37,CJ Jordan,2,RS Bopara,2
420, Perth,League-Match,UAE,IND,102.0,0.0,104.0,1.0,Ravichandran Ashwin,2015,AUS,played,IND,RG Sharma,57,Shaiman Anwar,35,R Ashwin,4,UT Yadav,2
421, Sydney,League-Match,SA,WI,408.0,5.0,151.0,0.0,AB de Villiers,2015,AUS,played,SA,AB de Villiers,162,HM Amla,65,Imran Tahir,5,M Morkel,2
422, Canberra,League-Match,BAN,AFG,267.0,0.0,162.0,0.0,Mushfiqur Rahim,2015,AUS,played,BAN,Mushfiqur Rahim,71,Shakib Al Hasan,63,Mashrafe Mortaza,3,Shapoor Zadran,2
423, Dunedin,League-Match,AFG,SL,232.0,0.0,236.0,6.0,Mahela Jayawardene,2015,NZ,played,SL,DPMD Jayawardene,100,Asghar Afghan,54,SL Malinga,3,Hamid Hassan,3
424, Hamilton,League-Match,BAN,NZ,288.0,7.0,290.0,7.0,Martin Guptill,2015,NZ,played,NZ,Mahmudullah,128,MJ Guptill,105,Shakib Al Hasan,4,CJ Anderson,2
425, Brisbane,League-Match,PAK,ZIM,235.0,7.0,215.0,0.0,Wahab Riaz,2015,AUS,played,PAK,Misbah-ul-Haq,73,Wahab Riaz,54,Mohammad Irfan,4,Wahab Riaz,4
426, Hobart,League-Match,IRE,ZIM,331.0,8.0,326.0,0.0,Ed Joyce,2015,AUS,played,IRE,BRM Taylor,121,EC Joyce,112,AR Cusack,4,TL Chatara,3
427, Christchurch,League-Match,ENG,SCOT,303.0,8.0,184.0,0.0,Moeen Ali,2015,NZ,played,ENG,MM Ali,128,KJ Coetzer,71,JH Davey,4,ST Finn,3
428, Nelson,League-Match,UAE,ZIM,285.0,7.0,286.0,6.0,Sean Williams,2015,NZ,played,ZIM,SC Williams,76,Shaiman Anwar,67,TL Chatara,3,SF Mire,2
429, Canberra,League-Match,SA,IRE,411.0,4.0,210.0,0.0,Hashim Amla,2015,AUS,played,SA,HM Amla,159,F du Plessis,109,KJ Abbott,4,M Morkel,3
430, Auckland,League-Match,ZIM,IND,287.0,0.0,288.0,4.0,Suresh Raina,2015,NZ,played,IND,BRM Taylor,138,SK Raina,110,UT Yadav,3,MM Sharma,3
431, Hamilton,League-Match,IRE,IND,259.0,0.0,260.0,2.0,Shikhar Dhawan,2015,NZ,played,IND,S Dhawan,100,NJ OBrien,75,Mohammed Shami,3,R Ashwin,2
432, Dunedin,League-Match,SCOT,AFG,210.0,0.0,211.0,9.0,Samiullah Shinwari,2015,NZ,played,AFG,Samiullah Shinwari,96,Javed Ahmadi,51,Shapoor Zadran,4,RD Berrington,4
433, Nelson,League-Match,WI,IRE,304.0,7.0,307.0,6.0,Paul Stirling,2015,NZ,played,IRE,LMP Simmons,102,PR Stirling,92,GH Dockrell,3,JE Taylor,3
434, Wellington,League-Match,ENG,SL,309.0,6.0,312.0,1.0,Kumar Sangakkara,2015,NZ,played,SL,HDRL Thirimanne,139,JE Root,121,TM Dilshan,1,AD Mathews,1
435, Napier,League-Match,AFG,NZ,186.0,0.0,188.0,4.0,Daniel Vettori,2015,NZ,played,NZ,MJ Guptill,57,Najibullah Zadran,56,DL Vettori,4,TA Boult,3
436, Sydney,Semi-Final,AUS,IND,328.0,7.0,233.0,0.0,Steven Smith,2015,AUS,played,AUS,SPD Smith,105,AJ Finch,81,UT Yadav,4,JP Faulkner,3
437, Hamilton,League-Match,SA,ZIM,339.0,4.0,277.0,0.0,David Miller,2015,NZ,played,SA,DA Miller,138,JP Duminy,115,Imran Tahir,3,VD Philander,2
438, Wellington,League-Match,SA,UAE,341.0,6.0,195.0,0.0,AB de Villiers,2015,NZ,played,SA,AB de Villiers,99,F Behardien,64,Mohammad Naveed,3,M Morkel,2
439, Wellington,Final,NZ,WI,393.0,6.0,250.0,0.0,Martin Guptill,2015,NZ,played,NZ,MJ Guptill,237,CH Gayle,61,TA Boult,4,JE Taylor,3
440, Brisbane,League-Match,AUS,BAN,0.0,0.0,0.0,0.0,,2015,AUS,abandoned,,,0,,0,,0,,0
441, Melbourne,League-Match,SL,BAN,332.0,1.0,240.0,0.0,Tillakaratne Dilshan,2015,AUS,played,SL,TM Dilshan,161,KC Sangakkara,105,SL Malinga,3,TM Dilshan,2
442, Hobart,League-Match,SCOT,AUS,130.0,0.0,133.0,3.0,Mitchell Starc,2015,AUS,played,AUS,MJ Clarke,47,MW Machan,40,MA Starc,4,PJ Cummins,3
443, Gqeberha,League-Match,ENG,NAM,272.0,0.0,217.0,9.0,Jan-Berrie Burger,2003,SA,played,ENG,,0,,0,,0,,0
444, Harare,League-Match,IND,ZIM,255.0,7.0,172.0,0.0,Sachin Tendulkar,2003,SA,played,IND,,0,,0,,0,,0
445, Centurion,League-Match,NZ,IND,146.0,0.0,150.0,3.0,Zaheer Khan,2003,SA,played,IND,,0,,0,,0,,0
446, Potchefstroom,League-Match,AUS,NED,170.0,2.0,122.0,0.0,Damien Martyn,2003,SA,played,AUS,,0,,0,,0,,0
447, Johannesburg,Final,AUS,IND,359.0,2.0,234.0,0.0,Ricky Ponting,2003,SA,played,AUS,,0,,0,,0,,0
449, Kimberley,League-Match,PAK,NAM,255.0,9.0,84.0,0.0,Wasim Akram,2003,SA,played,PAK,,0,,0,,0,,0
450, Durban,League-Match,KENYA,AUS,174.0,8.0,178.0,5.0,Aasif Karim,2003,SA,played,AUS,,0,,0,,0,,0
451, Durban,Semi-Final,IND,KENYA,270.0,4.0,179.0,0.0,Sourav Ganguly,2003,SA,played,IND,,0,,0,,0,,0
452, Durban,League-Match,SL,SA,268.0,9.0,229.0,6.0,Marvan Atapattu,2003,SA,played,,,0,,0,,0,,0
453, Cape Town,League-Match,ENG,PAK,246.0,8.0,134.0,0.0,James Anderson,2003,SA,played,ENG,,0,,0,,0,,0
454, Harare,League-Match,ZIM,NAM,340.0,2.0,104.0,5.0,Craig Wishart,2003,SA,played,ZIM,,0,,0,,0,,0
455, Cape Town,League-Match,CAN,KENYA,197.0,0.0,198.0,6.0,Thomas Odoyo,2003,SA,played,KENYA,,0,,0,,0,,0
456, Potchefstroom,League-Match,AUS,NAM,301.0,6.0,45.0,0.0,Glenn McGrath,2003,SA,played,AUS,,0,,0,,0,,0
457, Bulawayo,League-Match,ZIM,AUS,246.0,9.0,248.0,3.0,Andy Blignaut,2003,SA,played,AUS,,0,,0,,0,,0
458, Durban,League-Match,IND,ENG,250.0,9.0,168.0,0.0,Ashish Nehra,2003,SA,played,IND,,0,,0,,0,,0
459, Kimberley,League-Match,BAN,NZ,198.0,7.0,199.0,3.0,Craig McMillan,2003,SA,played,NZ,,0,,0,,0,,0
460, Centurion,League-Match,PAK,IND,273.0,7.0,276.0,4.0,Sachin Tendulkar,2003,SA,played,IND,,0,,0,,0,,0
461, Bloemfontein,League-Match,NED,NAM,314.0,4.0,250.0,0.0,Feiko Kloppenburg,2003,SA,played,NED,,0,,0,,0,,0
462, East London,League-Match,SA,CAN,254.0,8.0,136.0,5.0,Boeta Dippenaar,2003,SA,played,SA,,0,,0,,0,,0
463, Benoni,League-Match,WI,BAN,244.0,9.0,32.0,2.0,,2003,SA,played,,,0,,0,,0,,0
464, Paarl,League-Match,PAK,NED,253.0,9.0,156.0,0.0,Mohammad Yousuf,2003,SA,played,PAK,,0,,0,,0,,0
465, Johannesburg,League-Match,IND,SL,292.0,6.0,109.0,0.0,Javagal Srinath,2003,SA,played,IND,,0,,0,,0,,0
467, Pietermaritzburg,League-Match,BAN,SL,124.0,0.0,126.0,0.0,Chaminda Vaas,2003,SA,played,SL,,0,,0,,0,,0
468, Johannesburg,League-Match,SA,NZ,306.0,6.0,229.0,1.0,Stephen Fleming,2003,SA,played,NZ,,0,,0,,0,,0
469, Nairobi (Gym),League-Match,KENYA,SL,210.0,9.0,157.0,0.0,Collins Obuya,2003,SA,played,KENYA,,0,,0,,0,,0
470, Bloemfontein,League-Match,BAN,SA,108.0,0.0,109.0,0.0,Makhaya Ntini,2003,SA,played,SA,,0,,0,,0,,0
471, Centurion,League-Match,AUS,SL,319.0,5.0,223.0,0.0,Ricky Ponting,2003,SA,played,AUS,,0,,0,,0,,0
472, Centurion,League-Match,IND,AUS,125.0,0.0,128.0,1.0,Jason Gillespie,2003,SA,played,AUS,,0,,0,,0,,0
473, Cape Town,League-Match,SL,WI,228.0,6.0,222.0,9.0,Chaminda Vaas,2003,SA,played,SL,,0,,0,,0,,0
474, Bloemfontein,League-Match,ZIM,KENYA,133.0,0.0,135.0,3.0,Martin Suji,2003,SA,played,KENYA,,0,,0,,0,,0
475, East London,League-Match,NED,ENG,142.0,9.0,144.0,4.0,James Anderson,2003,SA,played,ENG,,0,,0,,0,,0
476, Gqeberha,Semi-Final,AUS,SL,212.0,7.0,123.0,7.0,Andrew Symonds,2003,SA,played,AUS,,0,,0,,0,,0
478, Bloemfontein,League-Match,ZIM,KENYA,133.0,0.0,135.0,3.0,Martin Suji,2003,SA,played,KENYA,,0,,0,,0,,0
479, Cape Town,League-Match,WI,SA,278.0,5.0,275.0,9.0,Brian Lara,2003,SA,played,WI,,0,,0,,0,,0
480, Cape Town,League-Match,KENYA,IND,225.0,6.0,226.0,4.0,Sourav Ganguly,2003,SA,played,IND,,0,,0,,0,,0
481, Gqeberha,League-Match,AUS,NZ,208.0,9.0,112.0,0.0,Shane Bond,2003,SA,played,AUS,,0,,0,,0,,0
482, Gqeberha,League-Match,NZ,WI,241.0,7.0,221.0,0.0,Andre Adams,2003,SA,played,NZ,,0,,0,,0,,0
483, Paarl,League-Match,IND,NED,204.0,0.0,136.0,0.0,Tim de Leede,2003,SA,played,IND,,0,,0,,0,,0
484, Benoni,League-Match,CAN,NZ,196.0,0.0,197.0,5.0,John Davison,2003,SA,played,NZ,,0,,0,,0,,0
485, Durban,League-Match,CAN,BAN,180.0,0.0,120.0,0.0,Austin Codrington,2003,SA,played,CAN,,0,,0,,0,,0
