,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs,best_baller_1,best_baller_1_wick,best_baller_2,best_baller_2_wick
38, Peshawar,League-Match,UAE,ENG,136.0,0.0,140.0,2.0,Neil Smith,1996,PAK,played,ENG,,0,,0,,0,,0
39, Karachi,League-Match,PAK,SA,242.0,6.0,243.0,5.0,Hansie Cronje,1996,PAK,played,SA,,0,,0,,0,,0
40, Patna,League-Match,KENYA,ZIM,134.0,0.0,137.0,5.0,Paul Strang,1996,IND,played,ZIM,,0,,0,,0,,0
41, Faisalabad,League-Match,NZ,SA,177.0,9.0,178.0,5.0,Hansie Cronje,1996,PAK,played,SA,,0,,0,,0,,0
42, Kandy,League-Match,SL,KENYA,398.0,5.0,254.0,7.0,Aravinda de Silva,1996,IND,played,SL,,0,,0,,0,,0
43, Gwalior,League-Match,WI,IND,173.0,0.0,174.0,5.0,Sachin Tendulkar,1996,IND,played,IND,,0,,0,,0,,0
44, Ahmedabad,League-Match,NZ,ENG,239.0,6.0,228.0,9.0,Nathan Astle,1996,IND,played,NZ,,0,,0,,0,,0
45, Delhi,League-Match,IND,SL,271.0,3.0,272.0,4.0,Sanath Jayasuriya,1996,IND,played,SL,,0,,0,,0,,0
46, Hyderabad (Deccan),League-Match,ZIM,WI,151.0,9.0,155.0,4.0,Curtly Ambrose,1996,IND,played,WI,,0,,0,,0,,0
47, Kanpur,League-Match,IND,ZIM,247.0,5.0,207.0,0.0,Ajay Jadeja,1996,IND,played,IND,,0,,0,,0,,0
48, Wankhede,League-Match,AUS,IND,258.0,0.0,242.0,0.0,Mark Waugh,1996,IND,played,AUS,,0,,0,,0,,0
49, Gwalior,League-Match,WI,IND,173.0,0.0,174.0,5.0,Sachin Tendulkar,1996,IND,played,IND,,0,,0,,0,,0
50, Pune,League-Match,KENYA,WI,166.0,0.0,93.0,0.0,Maurice Odumbe,1996,IND,played,KENYA,,0,,0,,0,,0
51, Cuttack,League-Match,KENYA,IND,199.0,6.0,203.0,3.0,Sachin Tendulkar,1996,IND,played,IND,,0,,0,,0,,0
52, Faisalabad,League-Match,ENG,SL,235.0,8.0,236.0,5.0,Sanath Jayasuriya,1996,PAK,played,SL,,0,,0,,0,,0
53, Hyderabad (Deccan),League-Match,ZIM,WI,151.0,9.0,155.0,4.0,Curtly Ambrose,1996,IND,played,WI,,0,,0,,0,,0
54, Peshawar,League-Match,ENG,NED,279.0,4.0,230.0,6.0,Graeme Hick,1996,PAK,played,ENG,,0,,0,,0,,0
55, Nagpur,League-Match,ZIM,AUS,154.0,0.0,158.0,2.0,Shane Warne,1996,IND,played,AUS,,0,,0,,0,,0
56, Lahore,League-Match,NED,UAE,216.0,9.0,220.0,3.0,Saleem Raza,1996,PAK,played,U.A.E.,,0,,0,,0,,0
57, Taunton,League-Match,AFG,NZ,172.0,0.0,173.0,3.0,James Neesham,2019,ENG,played,NZ,KS Williamson,79,Hashmatullah Shahidi,59,JDS Neesham,5,LH Ferguson,4
58, The Oval,League-Match,BAN,SA,330.0,6.0,309.0,8.0,Shakib Al Hasan,2019,ENG,played,BAN,Mushfiqur Rahim,78,Shakib Al Hasan,75,Mustafizur Rahman,3,AL Phehlukwayo,2
59, Cardiff,League-Match,ENG,BAN,386.0,6.0,280.0,0.0,Jason Roy,2019,ENG,played,ENG,JJ Roy,153,Shakib Al Hasan,121,JC Archer,3,BA Stokes,3
60, Cardiff,League-Match,SL,AFG,201.0,0.0,152.0,0.0,Nuwan Pradeep,2019,ENG,played,SL,MDKJ Perera,78,Najibullah Zadran,43,Mohammad Nabi,4,N Pradeep,4
61, Southampton,League-Match,BAN,AFG,262.0,7.0,200.0,0.0,Shakib Al Hasan,2019,ENG,played,BAN,Mushfiqur Rahim,83,Shakib Al Hasan,51,Shakib Al Hasan,5,Mujeeb Ur Rahman,3
62, Southampton,League-Match,IND,AFG,224.0,8.0,213.0,0.0,Jasprit Bumrah,2019,ENG,played,IND,V Kohli,67,Mohammad Nabi,52,Mohammed Shami,4,YS Chahal,2
63, Manchester,League-Match,ENG,AFG,397.0,6.0,247.0,8.0,Eoin Morgan,2019,ENG,played,ENG,EJG Morgan,148,JM Bairstow,90,JC Archer,3,AU Rashid,3
64, Chester-le-Street,League-Match,ENG,NZ,305.0,8.0,186.0,0.0,Jonny Bairstow,2019,ENG,played,ENG,JM Bairstow,106,JJ Roy,60,MA Wood,3,JDS Neesham,2
65, Nottingham,League-Match,PAK,ENG,348.0,8.0,334.0,9.0,Mohammad Hafeez,2019,ENG,played,PAK,JE Root,107,JC Buttler,103,MM Ali,3,Wahab Riaz,3
66, Bristol,League-Match,PAK,SL,0.0,0.0,0.0,0.0,,2019,ENG,abandoned,,,0,,0,,0,,0
67, Lord's,Final,NZ,ENG,241.0,8.0,241.0,0.0,Ben Stokes,2019,ENG,played,ENG,BA Stokes,84,JC Buttler,59,CR Woakes,3,LE Plunkett,3
68, Nottingham,League-Match,IND,NZ,0.0,0.0,0.0,0.0,,2019,ENG,abandoned,,,0,,0,,0,,0
69, Southampton,League-Match,WI,ENG,212.0,0.0,213.0,2.0,Joe Root,2019,ENG,played,ENG,JE Root,100,N Pooran,63,MA Wood,3,JC Archer,3
70, Manchester,League-Match,NZ,IND,239.0,8.0,221.0,0.0,Matt Henry,2019,ENG,played,NZ,RA Jadeja,77,LRPL Taylor,74,MJ Henry,3,B Kumar,3
71, Southampton,League-Match,SA,IND,227.0,9.0,230.0,4.0,Rohit Sharma,2019,ENG,played,IND,RG Sharma,122,CH Morris,42,YS Chahal,4,JJ Bumrah,2
72, The Oval,League-Match,AUS,SL,334.0,7.0,247.0,0.0,Aaron Finch,2019,ENG,played,AUS,AJ Finch,153,FDM Karunaratne,97,MA Starc,4,KW Richardson,3
73, Manchester,League-Match,IND,PAK,336.0,5.0,212.0,6.0,Rohit Sharma,2019,ENG,played,IND,RG Sharma,140,V Kohli,77,Mohammad Amir,3,Kuldeep Yadav,2
74, Cardiff,League-Match,AFG,SA,125.0,0.0,131.0,1.0,Imran Tahir,2019,ENG,played,SA,Q de Kock,68,HM Amla,41,Imran Tahir,4,CH Morris,3
75, Birmingham,League-Match,AUS,ENG,223.0,0.0,226.0,2.0,Chris Woakes,2019,ENG,played,ENG,JJ Roy,85,SPD Smith,85,CR Woakes,3,AU Rashid,3
76, The Oval,League-Match,ENG,SA,311.0,8.0,207.0,0.0,Ben Stokes,2019,ENG,played,ENG,BA Stokes,89,Q de Kock,68,JC Archer,3,L Ngidi,3
77, Taunton,League-Match,AUS,PAK,307.0,0.0,266.0,0.0,David Warner,2019,ENG,played,AUS,DA Warner,107,AJ Finch,82,Mohammad Amir,5,PJ Cummins,3
78, Lord's,League-Match,PAK,BAN,315.0,9.0,221.0,0.0,Shaheen Shah Afridi,2019,ENG,played,PAK,Imam-ul-Haq,100,Babar Azam,96,Shaheen Shah Afridi,6,Mustafizur Rahman,5
79, Leeds,League-Match,WI,AFG,311.0,6.0,288.0,0.0,Shai Hope,2019,ENG,played,WI,Ikram Alikhil,86,SD Hope,77,CR Brathwaite,4,KAJ Roach,3
80, Birmingham,League-Match,ENG,IND,337.0,7.0,306.0,5.0,Jonny Bairstow,2019,ENG,played,ENG,JM Bairstow,111,RG Sharma,102,Mohammed Shami,5,LE Plunkett,3
81, Leeds,League-Match,SL,IND,264.0,7.0,265.0,3.0,Rohit Sharma,2019,ENG,played,IND,AD Mathews,113,KL Rahul,111,JJ Bumrah,3,RA Jadeja,1
82, The Oval,League-Match,BAN,NZ,244.0,0.0,248.0,8.0,Ross Taylor,2019,ENG,played,NZ,LRPL Taylor,82,Shakib Al Hasan,64,MJ Henry,4,Mosaddek Hossain,2
83, Lord's,Final,NZ,ENG,241.0,8.0,241.0,0.0,Ben Stokes,2019,ENG,played,ENG,BA Stokes,84,JC Buttler,59,CR Woakes,3,LE Plunkett,3
84, Birmingham,League-Match,NZ,PAK,237.0,6.0,241.0,4.0,Babar Azam,2019,ENG,played,PAK,Babar Azam,101,JDS Neesham,97,Shaheen Shah Afridi,3,Shadab Khan,1
85, Manchester,League-Match,IND,WI,268.0,7.0,143.0,0.0,Virat Kohli,2019,ENG,played,IND,V Kohli,72,MS Dhoni,56,Mohammed Shami,4,KAJ Roach,3
86, Taunton,League-Match,WI,BAN,321.0,8.0,322.0,3.0,Shakib Al Hasan,2019,ENG,played,BAN,Shakib Al Hasan,124,SD Hope,96,Mustafizur Rahman,3,Mohammad Saifuddin,3
87, Manchester,League-Match,SA,AUS,325.0,6.0,315.0,0.0,Faf du Plessis,2019,ENG,played,SA,DA Warner,122,F du Plessis,100,K Rabada,3,D Pretorius,2
88, Chester-le-Street,League-Match,SL,SA,203.0,0.0,206.0,1.0,Dwaine Pretorius,2019,ENG,played,SA,F du Plessis,96,HM Amla,80,D Pretorius,3,CH Morris,3
89, Lord's,League-Match,AUS,NZ,243.0,9.0,157.0,0.0,Alex Carey,2019,ENG,played,AUS,UT Khawaja,88,AT Carey,71,MA Starc,5,TA Boult,4
90, Cardiff,League-Match,SL,NZ,136.0,0.0,137.0,0.0,Matt Henry,2019,ENG,played,NZ,MJ Guptill,73,C Munro,58,LH Ferguson,3,MJ Henry,3
91, Lord's,League-Match,AUS,ENG,285.0,7.0,221.0,0.0,Aaron Finch,2019,ENG,played,AUS,AJ Finch,100,BA Stokes,89,JP Behrendorff,5,MA Starc,4
92, Nottingham,League-Match,AUS,WI,288.0,0.0,273.0,9.0,Nathan Coulter-Nile,2019,ENG,played,AUS,NM Coulter-Nile,92,SPD Smith,73,MA Starc,5,CR Brathwaite,3
93, Bristol,League-Match,BAN,SL,0.0,0.0,0.0,0.0,,2019,ENG,abandoned,,,0,,0,,0,,0
94, Manchester,League-Match,NZ,IND,239.0,8.0,221.0,0.0,Matt Henry,2019,ENG,played,NZ,RA Jadeja,77,LRPL Taylor,74,MJ Henry,3,B Kumar,3
95, The Oval,League-Match,IND,AUS,352.0,5.0,316.0,0.0,Shikhar Dhawan,2019,ENG,played,IND,S Dhawan,117,V Kohli,82,B Kumar,3,JJ Bumrah,3
96, Nottingham,League-Match,AUS,BAN,381.0,5.0,333.0,8.0,David Warner,2019,ENG,played,AUS,DA Warner,166,Mushfiqur Rahim,102,Soumya Sarkar,3,MA Starc,2
97, Birmingham,League-Match,SA,NZ,241.0,6.0,245.0,6.0,Kane Williamson,2019,ENG,played,NZ,KS Williamson,106,HE van der Dussen,67,CH Morris,3,LH Ferguson,3
98, Bristol,League-Match,AFG,AUS,207.0,0.0,209.0,3.0,David Warner,2019,ENG,played,AUS,DA Warner,89,AJ Finch,66,PJ Cummins,3,A Zampa,3
99, Leeds,League-Match,AFG,PAK,227.0,9.0,230.0,7.0,Imad Wasim,2019,ENG,played,PAK,Imad Wasim,49,Babar Azam,45,Shaheen Shah Afridi,4,Mohammad Nabi,2
100, Chester-le-Street,League-Match,SL,WI,338.0,6.0,315.0,9.0,Avishka Fernando,2019,ENG,played,SL,N Pooran,118,WIA Fernando,104,SL Malinga,3,JO Holder,2
101, Lord's,League-Match,PAK,SA,308.0,7.0,259.0,9.0,Haris Sohail,2019,ENG,played,PAK,Haris Sohail,89,Babar Azam,69,Wahab Riaz,3,Shadab Khan,3
102, Leeds,League-Match,SL,ENG,232.0,9.0,212.0,0.0,Lasith Malinga,2019,ENG,played,SL,AD Mathews,85,BA Stokes,82,SL Malinga,4,DM de Silva,3
104, Manchester,League-Match,NZ,WI,291.0,8.0,286.0,0.0,Kane Williamson,2019,ENG,played,NZ,KS Williamson,148,CR Brathwaite,101,TA Boult,4,SS Cottrell,4
105, Birmingham,League-Match,IND,BAN,314.0,9.0,286.0,0.0,Rohit Sharma,2019,ENG,played,IND,RG Sharma,104,KL Rahul,77,Mustafizur Rahman,5,JJ Bumrah,4
106, Nottingham,League-Match,PAK,WI,105.0,0.0,108.0,3.0,Oshane Thomas,2019,ENG,played,WI,CH Gayle,50,N Pooran,34,O Thomas,4,Mohammad Amir,3
107, Chelmsford,League-Match,BAN,NZ,116.0,0.0,117.0,4.0,Gavin Larsen,1999,ENG,played,NZ,,0,,0,,0,,0
108, Lord's,Final,PAK,AUS,132.0,0.0,133.0,2.0,Shane Warne,1999,ENG,played,AUS,,0,,0,,0,,0
109, Amstelveen,League-Match,KENYA,SA,152.0,0.0,153.0,3.0,Lance Klusener,1999,ENG,played,SA,,0,,0,,0,,0
110, The Oval,League-Match,PAK,ZIM,271.0,9.0,123.0,0.0,Saeed Anwar,1999,ENG,played,PAK,,0,,0,,0,,0
111, Bristol,League-Match,IND,KENYA,329.0,2.0,235.0,7.0,Sachin Tendulkar,1999,ENG,played,IND,,0,,0,,0,,0
112, Manchester,League-Match,IND,PAK,227.0,6.0,180.0,0.0,Venkatesh Prasad,1999,ENG,played,IND,,0,,0,,0,,0
113, Lord's,League-Match,AUS,ZIM,303.0,4.0,259.0,6.0,Neil Johnson,1999,ENG,played,AUS,,0,,0,,0,,0
114, Chelmsford,League-Match,ZIM,SA,233.0,6.0,185.0,0.0,Neil Johnson,1999,ENG,played,ZIM,,0,,0,,0,,0
115, The Oval,League-Match,AUS,IND,282.0,6.0,205.0,0.0,Glenn McGrath,1999,ENG,played,AUS,,0,,0,,0,,0
116, Cardiff,League-Match,AUS,NZ,213.0,8.0,214.0,5.0,Roger Twose,1999,ENG,played,NZ,,0,,0,,0,,0
117, Nottingham,League-Match,IND,NZ,251.0,6.0,253.0,5.0,Roger Twose,1999,ENG,played,NZ,,0,,0,,0,,0
118, Edinburgh,League-Match,SCOT,NZ,121.0,0.0,123.0,4.0,Geoff Allott,1999,ENG,played,NZ,,0,,0,,0,,0
119, Southampton,League-Match,NZ,WI,156.0,0.0,158.0,3.0,Ridley Jacobs,1999,ENG,played,WI,,0,,0,,0,,0
120, Lord's,League-Match,SL,ENG,204.0,0.0,207.0,2.0,Alec Stewart,1999,ENG,played,ENG,,0,,0,,0,,0
121, Chester-le-Street,League-Match,BAN,AUS,178.0,7.0,181.0,3.0,Tom Moody,1999,ENG,played,AUS,,0,,0,,0,,0
122, Manchester,Semi-Final,NZ,PAK,241.0,7.0,242.0,1.0,Shoaib Akhtar,1999,ENG,played,PAK,,0,,0,,0,,0
123, Northampton,League-Match,SA,SL,199.0,9.0,110.0,0.0,Lance Klusener,1999,ENG,played,SA,,0,,0,,0,,0
124, Derby,League-Match,PAK,NZ,269.0,8.0,207.0,8.0,Inzamam-ul-Haq,1999,ENG,played,PAK,,0,,0,,0,,0
125, Leeds,League-Match,SA,AUS,271.0,7.0,272.0,5.0,Steve Waugh,1999,ENG,played,AUS,,0,,0,,0,,0
126, Birmingham,League-Match,SA,NZ,287.0,5.0,213.0,8.0,Jacques Kallis,1999,ENG,played,SA,,0,,0,,0,,0
127, Birmingham,League-Match,IND,ENG,232.0,8.0,169.0,0.0,Sourav Ganguly,1999,ENG,played,IND,,0,,0,,0,,0
128, Birmingham,Semi-Final,AUS,SA,213.0,0.0,213.0,0.0,Shane Warne,1999,ENG,played,,,0,,0,,0,,0
129, Worcester,League-Match,SCOT,AUS,181.0,7.0,182.0,4.0,Mark Waugh,1999,ENG,played,AUS,,0,,0,,0,,0
130, Leeds,League-Match,ZIM,NZ,175.0,0.0,70.0,3.0,,1999,ENG,played,,,0,,0,,0,,0
131, Southampton,League-Match,SL,KENYA,275.0,8.0,230.0,6.0,Maurice Odumbe,1999,ENG,played,SL,,0,,0,,0,,0
132, Bristol,League-Match,PAK,WI,229.0,8.0,202.0,0.0,Azhar Mahmood,1999,ENG,played,PAK,,0,,0,,0,,0
133, Derby,League-Match,PAK,NZ,269.0,8.0,207.0,8.0,Inzamam-ul-Haq,1999,ENG,played,PAK,,0,,0,,0,,0
134, Hove,League-Match,IND,SA,253.0,5.0,254.0,6.0,Jacques Kallis,1999,ENG,played,SA,,0,,0,,0,,0
135, Chester-le-Street,League-Match,PAK,SCOT,261.0,6.0,167.0,0.0,Mohammad Yousuf,1999,ENG,played,PAK,,0,,0,,0,,0
136, Nottingham,League-Match,PAK,SA,220.0,7.0,221.0,7.0,Lance Klusener,1999,ENG,played,SA,,0,,0,,0,,0
137, Manchester,League-Match,WI,AUS,110.0,0.0,111.0,4.0,Glenn McGrath,1999,ENG,played,AUS,,0,,0,,0,,0
138, Leeds,League-Match,PAK,AUS,275.0,8.0,265.0,0.0,Inzamam-ul-Haq,1999,ENG,played,PAK,,0,,0,,0,,0
139, Taunton,League-Match,IND,SL,373.0,6.0,216.0,0.0,Sourav Ganguly,1999,ENG,played,IND,,0,,0,,0,,0
140, Northampton,League-Match,BAN,PAK,223.0,9.0,161.0,0.0,Khaled Mahmud,1999,ENG,played,BAN,,0,,0,,0,,0
141, Lord's,League-Match,SL,ENG,204.0,0.0,207.0,2.0,Alec Stewart,1999,ENG,played,ENG,,0,,0,,0,,0
142, The Oval,League-Match,SA,ENG,225.0,7.0,103.0,0.0,Lance Klusener,1999,ENG,played,SA,,0,,0,,0,,0
143, Dublin,League-Match,BAN,WI,182.0,0.0,183.0,3.0,Courtney Walsh,1999,ENG,played,WI,,0,,0,,0,,0
144, Edinburgh,League-Match,BAN,SCOT,185.0,9.0,163.0,0.0,Minhajul Abedin,1999,ENG,played,BAN,,0,,0,,0,,0
145, Nottingham,League-Match,ZIM,ENG,167.0,8.0,168.0,3.0,Alan Mullally,1999,ENG,played,ENG,,0,,0,,0,,0
146, Leicester,League-Match,SCOT,WI,68.0,0.0,70.0,2.0,Courtney Walsh,1999,ENG,played,WI,,0,,0,,0,,0
147, Leicester,League-Match,ZIM,IND,252.0,9.0,249.0,0.0,Grant Flower,1999,ENG,played,ZIM,,0,,0,,0,,0
148, Taunton,League-Match,KENYA,ZIM,229.0,7.0,231.0,5.0,Neil Johnson,1999,ENG,played,ZIM,,0,,0,,0,,0
149, Worcester,League-Match,ZIM,SL,197.0,9.0,198.0,6.0,Marvan Atapattu,1999,ENG,played,SL,,0,,0,,0,,0
150, Canterbury,League-Match,KENYA,ENG,203.0,0.0,204.0,1.0,Steve Tikolo,1999,ENG,played,ENG,,0,,0,,0,,0
151, North Sound,League-Match,BAN,AUS,104.0,6.0,106.0,0.0,Glenn McGrath,2007,WI,played,AUS,AC Gilchrist,59,ML Hayden,47,GD McGrath,3,NW Bracken,2
152, Kingston,League-Match,PAK,ZIM,349.0,0.0,99.0,0.0,Imran Nazir,2007,WI,played,PAK,Imran Nazir,160,Inzamam-ul-Haq,37,Shahid Afridi,3,GB Brent,3
153, Bridgetown,League-Match,WI,BAN,230.0,5.0,131.0,0.0,Ramnaresh Sarwan,2007,WI,played,WI,RR Sarwan,91,S Chanderpaul,50,DBL Powell,3,CD Collymore,2
154, Kingston,Semi-Final,SL,NZ,289.0,5.0,208.0,0.0,Mahela Jayawardene,2007,WI,played,SL,DPMD Jayawardene,115,WU Tharanga,73,M Muralidaran,4,TM Dilshan,2
155, Providence,League-Match,SL,SA,209.0,0.0,212.0,9.0,Charl Langeveldt,2007,WI,played,SA,JH Kallis,86,GC Smith,59,CK Langeveldt,5,SL Malinga,4
156, Kingston,League-Match,IRE,WI,183.0,8.0,190.0,2.0,Shivnarine Chanderpaul,2007,WI,played,WI,S Chanderpaul,102,JP Bray,41,CH Gayle,2,DBL Powell,2
157, St George's,League-Match,IRE,SL,77.0,0.0,81.0,2.0,Farveez Maharoof,2007,WI,played,SL,DPMD Jayawardene,39,ST Jayasuriya,24,MF Maharoof,4,M Muralidaran,4
158, St George's,League-Match,AUS,NZ,348.0,6.0,133.0,0.0,Matthew Hayden,2007,WI,played,AUS,ML Hayden,103,RT Ponting,66,GB Hogg,4,SW Tait,3
159, Basseterre,League-Match,SCOT,SA,186.0,8.0,188.0,3.0,Graeme Smith,2007,WI,played,SA,GC Smith,91,AB de Villiers,62,AJ Hall,3,CK Langeveldt,2
160, Basseterre,League-Match,AUS,SCOT,334.0,6.0,131.0,0.0,Ricky Ponting,2007,WI,played,AUS,RT Ponting,113,ML Hayden,60,GD McGrath,3,SW Tait,2
161, Gros Islet,League-Match,ENG,NZ,209.0,7.0,210.0,4.0,Scott Styris,2007,WI,played,NZ,SB Styris,87,JDP Oram,63,SE Bond,2,SB Styris,2
162, Providence,League-Match,NZ,IRE,263.0,8.0,134.0,0.0,Peter Fulton,2007,WI,played,NZ,PG Fulton,83,KJ OBrien,49,DL Vettori,4,WK McCallan,2
163, Bridgetown,League-Match,ENG,SA,154.0,0.0,157.0,1.0,Andrew Hall,2007,WI,played,SA,GC Smith,89,AJ Strauss,46,AJ Hall,5,A Nel,3
164, Bridgetown,Final,AUS,SL,281.0,4.0,215.0,8.0,Adam Gilchrist,2007,WI,played,AUS,AC Gilchrist,149,ST Jayasuriya,63,SL Malinga,2,MJ Clarke,2
165, Kingston,League-Match,IRE,ZIM,221.0,9.0,221.0,0.0,Jeremy Bray,2007,WI,played,,JP Bray,115,S Matsikenyeri,73,E Chigumbura,2,GB Brent,2
166, Port of Spain,League-Match,BER,BAN,94.0,9.0,96.0,3.0,Mohammad Ashraful,2007,WI,played,BAN,Mohammad Ashraful,29,Shakib Al Hasan,26,S Mukuddem,3,Abdur Razzak,3
167, Port of Spain,League-Match,SL,IND,254.0,6.0,185.0,0.0,Muthiah Muralidaran,2007,WI,played,SL,WU Tharanga,64,R Dravid,60,M Muralidaran,3,WPUJC Vaas,2
168, Port of Spain,League-Match,SL,BAN,318.0,4.0,112.0,0.0,Sanath Jayasuriya,2007,WI,played,SL,ST Jayasuriya,109,KC Sangakkara,56,SL Malinga,3,WPUJC Vaas,1
169, North Sound,League-Match,AUS,WI,322.0,6.0,219.0,0.0,Matthew Hayden,2007,WI,played,AUS,ML Hayden,158,BC Lara,77,GD McGrath,3,GB Hogg,3
170, Basseterre,League-Match,AUS,SA,377.0,6.0,294.0,0.0,Matthew Hayden,2007,WI,played,AUS,ML Hayden,101,AB de Villiers,92,GB Hogg,3,NW Bracken,2
171, Providence,League-Match,SL,WI,303.0,5.0,190.0,0.0,Sanath Jayasuriya,2007,WI,played,SL,ST Jayasuriya,115,DPMD Jayawardene,82,ST Jayasuriya,3,WPUJC Vaas,2
172, Kingston,League-Match,WI,PAK,241.0,9.0,187.0,0.0,Dwayne Smith,2007,WI,played,WI,MN Samuels,63,Shoaib Malik,62,DR Smith,3,Iftikhar Anjum,3
173, Providence,League-Match,ENG,IRE,266.0,7.0,218.0,0.0,Paul Collingwood,2007,WI,played,ENG,PD Collingwood,90,NJ OBrien,63,A Flintoff,4,MS Panesar,2
174, Port of Spain,League-Match,SL,BER,321.0,6.0,78.0,0.0,Mahela Jayawardene,2007,WI,played,SL,DPMD Jayawardene,85,KC Sangakkara,76,MF Maharoof,4,SL Malinga,3
175, Gros Islet,League-Match,KENYA,ENG,177.0,0.0,178.0,3.0,Ed Joyce,2007,WI,played,ENG,SO Tikolo,76,EC Joyce,75,JM Anderson,2,A Flintoff,2
176, Gros Islet,Semi-Final,SA,AUS,149.0,0.0,153.0,3.0,Glenn McGrath,2007,WI,played,AUS,MJ Clarke,60,JM Kemp,49,SW Tait,4,GD McGrath,3
177, Basseterre,League-Match,SA,NED,353.0,3.0,132.0,9.0,Herschelle Gibbs,2007,WI,played,SA,JH Kallis,128,MV Boucher,75,JM Kemp,2,SM Pollock,1
178, Gros Islet,League-Match,ENG,CAN,279.0,6.0,228.0,7.0,Paul Collingwood,2007,WI,played,ENG,EC Joyce,66,PD Collingwood,62,S Dhaniram,3,RS Bopara,2
179, Gros Islet,League-Match,NZ,CAN,363.0,5.0,249.0,0.0,Lou Vincent,2007,WI,played,NZ,L Vincent,101,SP Fleming,66,JS Patel,3,DL Vettori,3
180, North Sound,League-Match,ENG,AUS,247.0,0.0,248.0,3.0,Shaun Tait,2007,WI,played,AUS,KP Pietersen,104,RT Ponting,86,NW Bracken,3,SW Tait,3
181, Gros Islet,League-Match,NZ,KENYA,331.0,7.0,183.0,0.0,Ross Taylor,2007,WI,played,NZ,LRPL Taylor,85,CD McMillan,71,JEC Franklin,2,MJ Mason,2
182, Kingston,League-Match,ZIM,WI,202.0,5.0,204.0,4.0,Sean Williams,2007,WI,played,WI,SC Williams,70,BRM Taylor,50,JE Taylor,2,DBL Powell,1
183, Providence,League-Match,IRE,SA,152.0,8.0,165.0,3.0,Jacques Kallis,2007,WI,played,SA,JH Kallis,66,AG Prince,47,CK Langeveldt,3,SM Pollock,2
184, North Sound,League-Match,BAN,NZ,174.0,0.0,178.0,1.0,Shane Bond,2007,WI,played,NZ,SP Fleming,102,HJH Marshall,50,SB Styris,4,JDP Oram,3
185, St George's,League-Match,SA,NZ,193.0,7.0,196.0,5.0,Craig McMillan,2007,WI,played,NZ,HH Gibbs,60,SB Styris,56,CD McMillan,3,SE Bond,2
186, Providence,League-Match,BAN,SA,251.0,8.0,184.0,0.0,Mohammad Ashraful,2007,WI,played,BAN,Mohammad Ashraful,87,HH Gibbs,56,A Nel,5,Abdur Razzak,3
187, Providence,League-Match,SL,SA,209.0,0.0,212.0,9.0,Charl Langeveldt,2007,WI,played,SA,JH Kallis,86,GC Smith,59,CK Langeveldt,5,SL Malinga,4
188, Basseterre,League-Match,AUS,NED,358.0,5.0,129.0,0.0,Brad Hodge,2007,WI,played,AUS,BJ Hodge,123,MJ Clarke,93,GB Hogg,4,TBM de Leede,2
189, St George's,League-Match,SA,WI,356.0,4.0,289.0,9.0,AB de Villiers,2007,WI,played,SA,AB de Villiers,146,RR Sarwan,92,CD Collymore,2,SM Pollock,2
190, Port of Spain,League-Match,IND,BAN,191.0,0.0,192.0,5.0,Mashrafe Mortaza,2007,WI,played,BAN,SC Ganguly,66,Mushfiqur Rahim,56,Mashrafe Mortaza,4,Mohammad Rafique,3
191, Basseterre,League-Match,SCOT,NED,136.0,0.0,140.0,2.0,Billy Stelling,2007,WI,played,NED,RN ten Doeschate,70,B Zuiderent,43,WF Stelling,3,Mohammad Kashif,2
192, Gros Islet,League-Match,CAN,KENYA,199.0,0.0,203.0,3.0,Steve Tikolo,2007,WI,played,KENYA,,0,,0,,0,,0
193, North Sound,League-Match,WI,NZ,177.0,0.0,179.0,3.0,Jacob Oram,2007,WI,played,NZ,SB Styris,80,SP Fleming,45,JDP Oram,3,SE Bond,3
194, Kingston,League-Match,PAK,IRE,132.0,0.0,133.0,7.0,Niall O'Brien,2007,WI,played,IRE,NJ OBrien,72,Kamran Akmal,27,Mohammad Sami,3,WB Rankin,3
195, North Sound,League-Match,SL,ENG,235.0,0.0,233.0,8.0,Ravi Bopara,2007,WI,played,SL,WU Tharanga,62,KP Pietersen,58,SI Mahmood,4,A Flintoff,3
196, St George's,League-Match,NZ,SL,219.0,7.0,222.0,4.0,Chaminda Vaas,2007,WI,played,SL,SB Styris,111,KC Sangakkara,69,M Muralidaran,3,WPUJC Vaas,3
197, Basseterre,League-Match,SA,NED,353.0,3.0,132.0,9.0,Herschelle Gibbs,2007,WI,played,SA,JH Kallis,128,MV Boucher,75,JM Kemp,2,SM Pollock,1
198, Bridgetown,League-Match,BAN,ENG,143.0,0.0,147.0,6.0,Sajid Mahmood,2007,WI,played,ENG,Shakib Al Hasan,57,MP Vaughan,30,SI Mahmood,3,MS Panesar,3
199, St George's,League-Match,SL,AUS,226.0,0.0,232.0,3.0,Nathan Bracken,2007,WI,played,AUS,DPMD Jayawardene,72,RT Ponting,66,NW Bracken,4,GB Hogg,2
200, Bridgetown,League-Match,WI,ENG,300.0,0.0,301.0,9.0,Kevin Pietersen,2007,WI,played,ENG,KP Pietersen,100,CH Gayle,79,MP Vaughan,3,DJ Bravo,2
